id,section_id,stem,choices,answer_key,difficulty
cbc71b34-a54d-436f-94c8-0cf0320a99c4,3ebe37ff-851e-4c7f-ab80-3d65be11374d,Strategic Planning: Which option best applies in scenario #1?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Strategic Planning.""}, {""id"": ""B"", ""text"": ""Partially aligned with Strategic Planning.""}, {""id"": ""C"", ""text"": ""Unrelated to Strategic Planning.""}, {""id"": ""D"", ""text"": ""Risky approach for Strategic Planning.""}]",A,medium
2b1e12b3-f4ae-4388-b3af-b5f027bd2646,3ebe37ff-851e-4c7f-ab80-3d65be11374d,Strategic Planning: Which option best applies in scenario #2?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Strategic Planning.""}, {""id"": ""B"", ""text"": ""Partially aligned with Strategic Planning.""}, {""id"": ""C"", ""text"": ""Unrelated to Strategic Planning.""}, {""id"": ""D"", ""text"": ""Risky approach for Strategic Planning.""}]",A,medium
189f65ae-ac03-4ec1-8468-9e900f9eb804,3ebe37ff-851e-4c7f-ab80-3d65be11374d,Strategic Planning: Which option best applies in scenario #3?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Strategic Planning.""}, {""id"": ""B"", ""text"": ""Partially aligned with Strategic Planning.""}, {""id"": ""C"", ""text"": ""Unrelated to Strategic Planning.""}, {""id"": ""D"", ""text"": ""Risky approach for Strategic Planning.""}]",A,medium
e2f963e7-582b-4b2d-b937-366cc488d400,3ebe37ff-851e-4c7f-ab80-3d65be11374d,Strategic Planning: Which option best applies in scenario #4?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Strategic Planning.""}, {""id"": ""B"", ""text"": ""Partially aligned with Strategic Planning.""}, {""id"": ""C"", ""text"": ""Unrelated to Strategic Planning.""}, {""id"": ""D"", ""text"": ""Risky approach for Strategic Planning.""}]",A,medium
ff264320-ae47-4bed-9285-e196a36ffbc1,60a04f3a-c065-442b-b848-fa3bf7269b37,Leadership: Which option best applies in scenario #1?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Leadership.""}, {""id"": ""B"", ""text"": ""Partially aligned with Leadership.""}, {""id"": ""C"", ""text"": ""Unrelated to Leadership.""}, {""id"": ""D"", ""text"": ""Risky approach for Leadership.""}]",A,medium
971867c8-5473-4169-baec-cb93198068fb,60a04f3a-c065-442b-b848-fa3bf7269b37,Leadership: Which option best applies in scenario #2?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Leadership.""}, {""id"": ""B"", ""text"": ""Partially aligned with Leadership.""}, {""id"": ""C"", ""text"": ""Unrelated to Leadership.""}, {""id"": ""D"", ""text"": ""Risky approach for Leadership.""}]",A,medium
f57ffaff-3911-4e90-9d82-1ab4a0acbb2d,60a04f3a-c065-442b-b848-fa3bf7269b37,Leadership: Which option best applies in scenario #3?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Leadership.""}, {""id"": ""B"", ""text"": ""Partially aligned with Leadership.""}, {""id"": ""C"", ""text"": ""Unrelated to Leadership.""}, {""id"": ""D"", ""text"": ""Risky approach for Leadership.""}]",A,medium
51213391-0d0b-4f03-9b57-a63942c9a9ff,60a04f3a-c065-442b-b848-fa3bf7269b37,Leadership: Which option best applies in scenario #4?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Leadership.""}, {""id"": ""B"", ""text"": ""Partially aligned with Leadership.""}, {""id"": ""C"", ""text"": ""Unrelated to Leadership.""}, {""id"": ""D"", ""text"": ""Risky approach for Leadership.""}]",A,medium
43e86fb6-9eba-4aef-9837-08450629c94f,ad55313c-ddcf-4683-a526-1dbef65eab3e,Project Management: Which option best applies in scenario #1?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Project Management.""}, {""id"": ""B"", ""text"": ""Partially aligned with Project Management.""}, {""id"": ""C"", ""text"": ""Unrelated to Project Management.""}, {""id"": ""D"", ""text"": ""Risky approach for Project Management.""}]",A,medium
8644b7fc-2b35-4c5c-ac82-e3822004e0c4,ad55313c-ddcf-4683-a526-1dbef65eab3e,Project Management: Which option best applies in scenario #2?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Project Management.""}, {""id"": ""B"", ""text"": ""Partially aligned with Project Management.""}, {""id"": ""C"", ""text"": ""Unrelated to Project Management.""}, {""id"": ""D"", ""text"": ""Risky approach for Project Management.""}]",A,medium
